i0,Peak of I,Start of Epidemic,Max Deaths,Cumulative Infections
1,247.10526315789477,52,16.31578947368421,316277.15789473685
3,249.26829268292684,45,17.4390243902439,347881.2195121951
5,257.84,32,18.84,388870.48000000004
10,265.34,23,19.56,411743.07999999996
20,298.78,10,20.02,457635.42
50,340.62,1,19.26,490341.76
100,376.98,0,19.42,506083.6400000001
150,421.36,0,20.96,520445.17999999993
200,466.72,0,21.18,532033.46
300,521.72,0,22.0,544752.0
