i0,Peak of I,Start of Epidemic,Max Deaths,Cumulative Infections
3,250.05555555555557,44,12.38888888888889,343685.30555555556
3,241.8636363636364,42,14.136363636363637,344502.0227272727
3,235.46341463414635,46,15.585365853658535,328056.48780487804
3,247.1904761904762,47,14.904761904761903,336089.88095238095
3,240.3571428571429,47,19.047619047619047,338551.7380952381
3,245.6153846153846,48,19.846153846153847,340571.76923076925
3,238.7317073170732,42,24.92682926829268,363328.70731707313
3,261.7906976744186,47,30.069767441860463,368531.488372093
3,210.64285714285717,40,34.976190476190474,371017.38095238095
3,238.27272727272728,46,39.63636363636363,387647.29545454547
